Domain,#Quads of Subset,#Entities of class,Properties and Density
sewerex.com,1463,8,{'geo': 1.0}
foreverbarnwood.com,1913,13,{'name': 1.0}
aboderealestate.co.za,28,1,{'name': 1.0}
stecher-danny.it,99,1,{'name': 1.0}
articmeds.com,992,9,{'name': 1.0}
mb2f.com,510,17,{'name': 1.0}
kartal.web.tr,812,22,{'name': 1.0}
vervio.so.it,716,14,{'name': 1.0}
viadjusters.com,1224,10,{'name': 1.0}
driveclassicchevy.com,659,4,{'name': 1.0}
kiaraquinn.com,1598,13,{'name': 1.0}
plan-des-mobilites-idf.fr,136,4,{'name': 1.0}
kimbrealest.co.za,350,12,{'name': 1.0}
nationalsoccerhof.com,1995,32,{'name': 1.0}
irriglobe.com,130,3,{'name': 1.0}
turizmfm.com.tr,656,18,{'name': 1.0}
salzadipinerolo.to.it,116,4,{'name': 1.0}
legendarylandscapesca.com,65,8,{'name': 1.0}
canakkalehaber.com,282,8,{'name': 1.0}
mars-umzuege.de,1953,12,{'name': 1.0}
porschefarmingtonhills.com,325,2,{'name': 1.0}
orlandojunkyard.us,1254,13,{'name': 1.0}
ambiance-cuir-37.com,244,6,{'name': 1.0}
hkwebservices.com.au,500,6,{'name': 1.0}
docteur-diener.com,417,18,{'Name': 1.0}
urgenceserrurier.net,215,3,{'name': 1.0}
maps-of-the-world.org,731,29,{'name': 1.0}
voyago.ca,738,10,{'name': 1.0}
aureliagroup.co.uk,396,1,{'name': 1.0}
fontanettopo.vc.it,730,25,{'name': 1.0}
xpanda.co.za,15059,186,{'name': 1.0}
easywayremovals.co.uk,511,8,{'name': 1.0}
blacklawpa.com,1176,13,{'name': 1.0}
lloydpest.com,672,2,{'name': 1.0}
deckingcanberra.com,791,11,{'name': 1.0}
onlinebailbonds.com,1224,22,{'name': 1.0}
atuladosalud.com,406,7,{'name': 1.0}
gussola.cr.it,104,2,{'name': 1.0}
snovasys.com,96,6,{'name': 1.0}
bootinandsavrickpediatrics.com,533,7,{'name': 1.0}
haberkaraman.com,420,12,{'name': 1.0}
jurewitz.com,2949,216,{'name': 1.0}
gnprealty.com,174,6,{'name': 1.0}
gusprop.com,147,5,{'name': 1.0}
oxfamamerica.org,276,6,{'name': 1.0}
delizioso-laurieton.com.au,127,10,{'name': 1.0}
pontassieve.fi.it,1148,26,{'name': 1.0}
1kuss.de,7613,62,{'name': 1.0}
ravalement-facades86.com,37,1,{'name': 1.0}
omnil.fr,103,3,{'name': 1.0}
bovisiomasciago.mb.it,108,5,{'name': 1.0}
capxbrand.com,1187,6,{}
evelinacharity.org.uk,661,26,{'name': 1.0}
southlakehospital.com,215,5,{'name': 1.0}
giresunileri.com,283,8,{'name': 1.0}
perlo.cn.it,29,1,{'name': 1.0}
parenthesemereveilleuse.fr,1565,17,{'name': 1.0}
pharmacie-mathieu-bourges.com,196,4,{'name': 1.0}
xn----8sbbccodbe3aqchg5b0av5a3k.xn--p1ai,204,2,{'name': 1.0}
venezvousfairevoir.fr,95,5,{'name': 1.0}
yazdostum.net,2611,66,{'name': 1.0}
herrerafirm.com,656,4,{'geo': 1.0}
bagnolo.cn.it,66,3,{'name': 1.0}
aweshomeitaly.com,2160,48,{'name': 1.0}
tour-du-ble.com,2318,10,{'name': 1.0}
inspectionprosllc.com,810,12,{'name': 1.0}
crucoli.kr.it,44,2,{'name': 1.0}
atlascarpetclean.com,202,2,{'geo': 1.0}
uk-home-information.co.uk,525,35,{'name': 1.0}
fivestarservicepros.com,3829,17,{'geo': 1.0}
themediationgroupinc.com,201,2,{'name': 1.0}
costigliolesaluzzo.cn.it,638,22,{'name': 1.0}
egopowerplus.ch,1956,86,{'name': 1.0}
alb-ns.com,205,6,{'name': 1.0}
motormaatje.be,234,4,{'name': 1.0}
xn----8sbbcodesfocgbfzr3c2j5c.xn--p1ai,193,2,{'name': 1.0}
comitsolution.pl,184,5,{'name': 1.0}
roccofortehotels.com,1177,10,{'name': 1.0}
centrallakesremovals.co.nz,2031,44,{'name': 1.0}
praxiskaeferle.at,129,3,{'name': 1.0}
1stclassplumbing.com,2922,12,{'geo': 1.0}
serrurerie-alleray-paris.com,481,15,{'name': 1.0}
newbloodgospelbluegrassband.com,84,4,{'name': 1.0}
padernodadda.lc.it,309,6,{'name': 1.0}
galmukoffmarine.com,685,10,{'name': 1.0}
timeoutkorea.kr,115,5,{'name': 1.0}
sdlccorp.com,2856,400,{'name': 1.0}
syntheticgrasscentralcoast.com,797,5,{'name': 1.0}
karaman.org,217,6,{'name': 1.0}
aweshome.it,1079,24,{'name': 1.0}
brightbuyshouses.com,2522,12,{'containsPlace': 1.0}
katsumisangyo.com,734,6,{'name': 1.0}
lonex.com,894,30,{'name': 1.0}
rn-acrylbilder.de,1820,24,{'name': 1.0}
flooringshowroom.co.uk,71,1,{'name': 1.0}
mbusatechs.com,46,2,{'name': 1.0}
baldowski.pl,240,3,{'name': 1.0}
depannage24.com,1908,25,{'name': 1.0}
virtualrealty.co.za,331,11,{'name': 1.0}
stevenhewlett.co.uk,1296,20,{'name': 1.0}
jordanvalley.org,191,6,{'name': 1.0}
alesomarketing.com,516,2,{'geo': 1.0}
matchguru.it,194,2,{'name': 1.0}
centre-obesite-surpoids-grenoble.com,552,11,{'address': 1.0}
ilumiperu.com,71,2,{'name': 1.0}
stanleylawoffices.com,798,3,{'address': 1.0}
graniti.me.it,418,19,{'name': 1.0}
start-rent.ru,537,19,{'name': 1.0}
maternlawgroup.com,293,9,{'name': 1.0}
bigbenpizzabar.com.au,113,5,{'name': 1.0}
lifestylefitnessinstitute.com,213,1,{'name': 1.0}
magazinmasasi.com,1015,28,{'name': 1.0}
localrealestate.co.za,266,6,{'name': 1.0}
xn-----6kccncgeekr3aqvoebtedpm8e7m.xn--p1ai,358,8,{'name': 1.0}
porschemilwaukeenorth.com,343,2,{'name': 1.0}
settingup-centrevaldeloire.fr,1648,8,{'name': 1.0}
firstclassmovers.org,109,4,{'name': 1.0}
bathroomrenovationswollongong.com,845,10,{'name': 1.0}
pandameds.com,170,6,{'name': 1.0}
ticketgum.com,112,18,{'name': 1.0}
euromaster.se,36,2,{'name': 1.0}
neverdownroadsideandtowing.com,152,2,{'name': 1.0}
sapwfh.com,42,2,{'name': 1.0}
cherasco.cn.it,526,18,{'name': 1.0}
macstores.vn,5227,7,{}
themedspaonrandolph.com,1149,22,{'name': 1.0}
santelenasannita.is.it,22,1,{'name': 1.0}
caritasproperties.co.za,420,14,{'name': 1.0}
aphrodite5terreboattour.com,3895,40,{'name': 1.0}
brossasco.cn.it,175,6,{'name': 1.0}
sccouplesclinic.com.au,233,2,{'name': 1.0}
gargallo.no.it,361,7,{'name': 1.0}
solsystems.net,945,21,{'name': 1.0}
inhalersonline.com,4975,75,{'name': 1.0}
candientuhanoi.vn,273,7,{'name': 1.0}
enigma3.com,87,4,{'name': 1.0}
airit.co.uk,686,16,{'name': 1.0}
egopowerplus.dk,1806,82,{'name': 1.0}
thebentonlawfirm.com,4450,253,{'name': 1.0}
cittadella.pd.it,330,15,{'name': 1.0}
pievepelago.mo.it,117,4,{'name': 1.0}
bianzone.so.it,769,15,{'name': 1.0}
cellinosanmarco.br.it,570,10,{'name': 1.0}
lighthousejournalism.com,311,2,{'name': 1.0}
infinityledger.com.au,295,7,{'name': 1.0}
authenticbrand.com,168,1,{'name': 1.0}
pushcorp.com,1251,9,{'name': 1.0}
go2andaman.com,1256,32,{'name': 1.0}
deliverit.com.au,96,1,{'name': 1.0}
tournefeuille-automobiles.fr,261,7,{'name': 1.0}
monticelloassociates.com,173,3,{'name': 1.0}
premierokchomebuyers.com,1508,7,{'containsPlace': 1.0}
tilingsunshinecoast.com.au,720,9,{'name': 1.0}
clean4me-us.com,3227,48,{'name': 1.0}
mc2location.com,9711,10,{'name': 1.0}
buonconvento.si.it,294,10,{'name': 1.0}
advanceddetailingsofla.com,855,66,{'name': 1.0}
maximdomenech.es,172,2,{'name': 1.0}
s4engineering.co.uk,379,5,{'name': 1.0}
onexpediteroadsideservice.com,160,2,{'name': 1.0}
golfbussetowing.com,89,1,{'name': 1.0}
bizprosfl.com,127,12,{'name': 1.0}
borgosandalmazzo.cn.it,60,2,{'name': 1.0}
mikra22.bg,680,9,{'name': 1.0}
reliableair.com,133,2,{'geo': 1.0}
kunststofkozijnengroothandel.nl,893,7,{'name': 1.0}
nordwind-personal.de,72,1,{'name': 1.0}
mr-auto.dk,64,1,{'name': 1.0}
voopiik34.ru,57,3,{'name': 1.0}
mysynergyhome.com,1262,6,{'geo': 1.0}
goclouding.net,371,7,{'address': 1.0}
brickunderground.com,684,17,{'address': 1.0}
techstrive.de,32,2,{'name': 1.0}
fairwayhomebuyers.com,2342,13,{'containsPlace': 1.0}
citypressinc.com,114,3,{'name': 1.0}
germanphotographers.com,1475,12,{'name': 1.0}
fosso.ve.it,58,2,{'name': 1.0}
citibank.co.uk,148,2,{'name': 1.0}
brennemaninc.com,2235,29,{'name': 1.0}
hewattroofing.com,1701,8,{'geo': 1.0}
visioneerit.com,400,5,{'name': 1.0}
termiteguys.com.au,3913,24,{'geo': 1.0}
vikingsof.me,18,2,{'name': 1.0}
advantagetherapy.com.au,69,1,{'name': 1.0}
singlesover40.co.uk,165,15,{'name': 1.0}
clickandcare.fr,1261,19,{'name': 1.0}
collisbrosplumbing.com.au,1390,8,{'name': 1.0}
smashironfitness.com,615,12,{'name': 1.0}
habilletoutpro.com,495,10,{'name': 1.0}
castiglionedadda.lo.it,360,7,{'name': 1.0}
bitritto.ba.it,84,4,{'name': 1.0}
santambrogio.vr.it,58,2,{'name': 1.0}
creativesanctuary.com,432,5,{'name': 1.0}
jonesfoster.com,110,10,{'name': 1.0}
novatae.com,508,9,{'name': 1.0}
legalconsumer.com,642,12,{'address': 1.0}
demolitionhobart.com.au,1945,25,{'name': 1.0}
lockoutpirates.co.uk,1268,9,{'name': 1.0}
bucchianico.ch.it,29,1,{'name': 1.0}
pont-immobilier-30.com,46,1,{'name': 1.0}
specialtygroup.co,760,3,{'name': 1.0}
skappliancerepair.com,66,1,{'name': 1.0}
thebeacondog.com,3432,20,{'name': 1.0}
cincycollectibles.com,1475,12,{'name': 1.0}
wolfchasehyundai.com,175,1,{'name': 1.0}
nissanofturnersville.com,959,6,{'name': 1.0}
papernest.es,6780,12,{'name': 1.0}
domainedeguillalmes.com,115,5,{'name': 1.0}
geoitech.com,29,1,{'name': 1.0}
taleggio.bg.it,140,6,{'name': 1.0}
redaccionmedica.com,5585,5,{'name': 1.0}
xn----8sbdlcepfmclspk9b1d1c3e.xn--p1ai,215,2,{'name': 1.0}
perledo.lc.it,616,12,{'name': 1.0}
trioinvestigations.ca,128,2,{'name': 1.0}
opcpest.com,580,2,{'geo': 1.0}
salvirola.cr.it,62,2,{'name': 1.0}
safsoz.av.tr,2968,111,{'name': 1.0}
alldayandnightservices.com,232,3,{'name': 1.0}
mecnitecs.com,237,4,{'name': 1.0}
newcastlebathroomrenovation.com.au,1206,14,{'name': 1.0}
magenta.mi.it,168,8,{'name': 1.0}
1stclassautoglass.com,190,2,{'name': 1.0}
lbreda.com,176,2,{'address': 1.0}
the-neon-store.com,224,32,{'name': 1.0}
sondakikhaber.com,355,10,{'name': 1.0}
kikellamas.com,189,4,{'name': 1.0}
homecarrelage.fr,86,2,{'name': 1.0}
apexbailbond.com,1351,8,{'name': 1.0}
buckinghamshire.gov.uk,322,14,{'name': 1.0}
vanmaanenloca.nl,83,2,{'name': 1.0}
ilioshealth.com,2524,16,{'name': 1.0}
santacrocedimagliano.cb.it,43,2,{'name': 1.0}
stormroofingandrepair.com,205,2,{'name': 1.0}
corluhaber.com.tr,353,10,{'name': 1.0}
ecpipelines.com,588,4,{'geo': 1.0}
topangawomenscircle.org,145,5,{'name': 1.0}
westernfumigation.com,1347,3,{'geo': 1.0}
xn----7sbbgjyosdbffddvlqs5ova.xn--p1ai,138,4,{'name': 1.0}
devekusu.net,73,2,{'name': 1.0}
xn-----8kcbgehbhcbixhpo1bnfdbael6afpqdisn3izilb.xn--p1ai,244,4,{'name': 1.0}
elmhurstbmw.com,181,1,{'name': 1.0}
karenlagore.ca,83,1,{}
savvy-aesthetics.com,170,2,{'name': 1.0}
langhout-heftrucks.nl,94,6,{'name': 1.0}
castelgiorgio.tr.it,29,1,{'name': 1.0}
torelladelsannio.cb.it,68,3,{'name': 1.0}
legacysewerpros.com,1273,5,{'geo': 1.0}
imgbestsearch.com,1475,12,{'name': 1.0}
agencement-pichon.fr,78,2,{'name': 1.0}
optimum.com,2299,112,{'address': 1.0}
allevents.in,60,2,{'name': 1.0}
lawforveterans.org,5722,35,{'name': 1.0}
xn-----6kcbq3aolevbebihs0dzg.xn--p1ai,271,4,{'name': 1.0}
demarches-logement.fr,1258,5,{'name': 1.0}
teamber.fr,1415,36,{'name': 1.0}
paladinospizzaandpasta.com.au,136,14,{'name': 1.0}
renebekker.co.za,112,4,{'name': 1.0}
songnhac.com.vn,269,2,{}
santangeloallesca.av.it,152,7,{'name': 1.0}
rueduprof.com,1887,28,{'name': 1.0}
dentisteahuntsic.com,132,2,{'name': 1.0}
gazeteavrasya.com,1111,32,{'name': 1.0}
riolunato.mo.it,29,1,{'name': 1.0}
fontanelle.tv.it,29,1,{'name': 1.0}
fantasticservices.com,122,4,{'name': 1.0}
koronapay.com,1165,17,{'name': 1.0}
icls.ca,663,7,{'name': 1.0}
gohomes.co.za,162,6,{'name': 1.0}
kerbon.de,106,3,{'name': 1.0}
rentabilibar.es,607,5,{'name': 1.0}
plansverige.org,77,1,{'name': 1.0}
thecincyhousebuyer.com,11062,28,{'name': 1.0}
dstvinstallercenturion-gauteng.co.za,2369,5,{'name': 1.0}
jpd.agency,192,4,{'name': 1.0}
mytopnotchplumber.com,1610,7,{'geo': 1.0}
spiroslaw.com,3572,450,{'name': 1.0}
sylviemarquis.com,60,1,{'name': 1.0}
besthoustonhousebuyers.com,1304,2,{'containsPlace': 1.0}
el-plan.dk,87,1,{'name': 1.0}
pharmacievieilleville23.com,46,1,{'name': 1.0}
westfieldfriends.org,3004,66,{'name': 1.0}
coach-charter-germany.com,210,3,{'name': 1.0}
lgb-sas.com,220,7,{'name': 1.0}
castione.bg.it,58,2,{'name': 1.0}
swanseadental.com.au,545,5,{'name': 1.0}
scandialandmanagement.com,314,3,{'name': 1.0}
andersenph.com,2669,5,{'geo': 1.0}
centre-equestre-lozere.fr,172,4,{'name': 1.0}
circlestates.co.za,78,3,{'name': 1.0}
hastane.com.tr,156,6,{'name': 1.0}
rockinsul.com,221,1,{'name': 1.0}
medayroi.com,951,2,{}
asesoresautonomosjdv.com,83,1,{'name': 1.0}
beautybyameira.com,127,2,{'name': 1.0}
ranger.academy,293,5,{'name': 1.0}
bmdgasengineerandplumber.com,553,3,{'name': 1.0}
xn-----dlccoqfm4aceseeqd5eb7g1a9b.xn--p1ai,68,2,{'name': 1.0}
creatif.com,6387,6,{'name': 1.0}
xn----8sbdfhdecxocm6abc0av8m.xn--p1ai,26,2,{'name': 1.0}
padstore.vn,6839,16,{}
coiffeur-bourges-cyrille.com,40,1,{'name': 1.0}
goscubadivemaui.com,1270,4,{'name': 1.0}
olivier-delange.com,131,6,{'name': 1.0}
oktechnologies.cz,45,1,{'name': 1.0}
xn-----8kcbbyceseh1brbc3alc7a.xn--p1ai,214,2,{'name': 1.0}
coachcenter.nl,246,2,{'name': 1.0}
268297.com,1356,11,{'name': 1.0}
carportsgoldcoast.com,2090,10,{'name': 1.0}
classiclexus.com,270,2,{'name': 1.0}
ella-h.co.za,472,16,{'name': 1.0}
serigraphie-broderie-griffdecor.com,31,1,{'name': 1.0}
superiorroofingltd.ca,791,4,{'name': 1.0}
rossana.cn.it,296,10,{'name': 1.0}
parenti.cs.it,378,7,{'name': 1.0}
frassino.cn.it,145,5,{'name': 1.0}
tarihistan.org,403,10,{'name': 1.0}
lofinetwork.com,984,6,{'name': 1.0}
blueplanetprop.com,38,1,{'name': 1.0}
projectlaser.com.au,208,2,{'name': 1.0}
allphase-electric.com,2957,28,{'name': 1.0}
londonpenthouse.com,1083,18,{'name': 1.0}
iconpg.co.za,29,1,{'name': 1.0}
hookedfishandchipper.com.au,99,1,{'name': 1.0}
pharmaciedumarche-melle.com,252,6,{'name': 1.0}
gonis.org.gr,25,1,{'name': 1.0}
bankfivenine.com,4515,12,{'name': 1.0}
scichart.com,2076,5,{'name': 1.0}
dulwichlife.com,20,1,{'name': 1.0}
buyingorselling.co.za,180,6,{'name': 1.0}
peterboulwaretoyota.com,375,2,{'name': 1.0}
bloomchennai.com,105,5,{'name': 1.0}
pontedellolio.pc.it,58,2,{'name': 1.0}
livinginmosselbay.co.za,218,7,{'name': 1.0}
npconsult.dk,75,1,{'name': 1.0}
arteterapiarosalia.es,158,2,{'name': 1.0}
setlr.com.au,1017,7,{}
ikerim.kz,914,20,{'address': 1.0}
stollfloridalawyer.com,313,5,{'name': 1.0}
robbiate.lc.it,202,4,{'name': 1.0}
jerseymutual.com,913,9,{'name': 1.0}
pilothvac.net,2300,17,{'geo': 1.0}
exigent.net,206,5,{'name': 1.0}
gorettreis.com,217,3,{}
moerup-algerens.dk,82,1,{'name': 1.0}
bylinebank.com,513,3,{'name': 1.0}
caccamo.pa.it,111,5,{'name': 1.0}
kennethsand.dk,86,1,{'name': 1.0}
cre-africa.com,168,6,{'name': 1.0}
caviste-lespapilles.com,246,6,{'name': 1.0}
vaschedocce.it,1385,39,{'name': 1.0}
miroirdeslys.com,190,5,{'name': 1.0}
serendelgrappa.bl.it,717,14,{'name': 1.0}
acheatingservicewoodlands.com,1551,200,{'name': 1.0}
bagnolodelsalento.le.it,21,1,{'name': 1.0}
jacksonvillepoolscreens.com,823,4,{'containsPlace': 1.0}
adobe.com,1082,20,{'address': 1.0}
jrlanguage.com,1104,3,{'name': 1.0}
cameri.no.it,108,5,{'name': 1.0}
ulusalhaber.com.tr,419,12,{'name': 1.0}
michaelpricerealestate.co.za,116,4,{'name': 1.0}
cafeoflifeli.com,220,4,{'name': 1.0}
lvnvlegal.com,69,1,{'name': 1.0}
grown.global,133,1,{'geo': 1.0}
ogbet.pl,312,10,{'name': 1.0}
habervip.org,910,26,{'name': 1.0}
singlesover80.co.uk,40,4,{'name': 1.0}
skalsvognmandsforretning.dk,82,1,{'name': 1.0}
atlantic-jump.com,359,8,{'name': 1.0}
crunch.co.uk,114,6,{'name': 1.0}
carbonnt.com,450,4,{'name': 1.0}
zunderlaw.com,1017,7,{'geo': 1.0}
topbrasiltur.com.br,54,2,{'name': 1.0}
airmatpac.fr,1035,13,{'name': 1.0}
datatips.cl,56,1,{'name': 1.0}
bathtubresurfacingsite.com,432,3,{'geo': 1.0}
soffitfasciagutterreplacement.com,7891,12,{'containsPlace': 1.0}
motivny.com,258,2,{'name': 1.0}
woolamaipizza.com.au,99,1,{'name': 1.0}
xn----8sbdbmdexlabchg1bcc6co9mpe.xn--p1ai,84,4,{'name': 1.0}
buysellasap.com,1254,7,{'containsPlace': 1.0}
covewestusa.com,328,9,{'name': 1.0}
woodfloorfinishes.co.uk,372,6,{'name': 1.0}
alamocenter.org,537,3,{'name': 1.0}
lakesnorthernitalybiketours.com,191,1,{'name': 1.0}
lafermedecharlin.fr,143,6,{'name': 1.0}
comunemira.it,44,2,{'name': 1.0}
artzlopez.info,116,1,{'name': 1.0}
eatintonight.com.au,218,10,{'name': 1.0}
savvyorganic.com.au,96,1,{'name': 1.0}
advanceddrainsandundergroundsolutions.com,1269,6,{'geo': 1.0}
02nethaber.com,709,20,{'name': 1.0}
der-reiskoch.de,46,3,{'name': 1.0}
litigation-finance.com,355,6,{'address': 1.0}
crowdo.net,117,4,{'name': 1.0}
fidenza.pr.it,92,4,{'name': 1.0}
sanbenedettodeimarsi.aq.it,110,5,{'name': 1.0}
oceaniquarealty.co.za,120,4,{'name': 1.0}
calvenzano.bg.it,102,2,{'name': 1.0}
advicy.it,153,8,{'name': 1.0}
mcooperlaw.com,91,1,{'name': 1.0}
sea-home.org,84,2,{'name': 1.0}
aerofoams.com,26,1,{'address': 1.0}
insideout-designbuild.com,94,3,{'name': 1.0}
washdog24h.com,77,3,{'name': 1.0}
jmantenimientos.com,217,4,{'name': 1.0}
insulinmart.com,1073,12,{'name': 1.0}
jkl-byg.dk,77,1,{'name': 1.0}
tsm-36.com,222,5,{'name': 1.0}
mmix.ca,142,3,{'name': 1.0}
arcabike-velos.fr,359,6,{'name': 1.0}
digioptimization.com,103,1,{'name': 1.0}
marketingrocks.it,59,1,{'containsPlace': 1.0}
drmaryannbschaefer.com,58,1,{'name': 1.0}
peacemakermediationgroup.com,252,4,{'name': 1.0}
adahaber.com.tr,138,4,{'name': 1.0}
christineappel.co.za,58,2,{'name': 1.0}
physicaltherapyandaquatics.com,406,8,{'name': 1.0}
swagmee.com,69,1,{'name': 1.0}
brandonbizpros.com,772,84,{'name': 1.0}
gropparello.pc.it,29,1,{'name': 1.0}
xn----8sbdlcepfmclg2a4ba4a8i.xn--p1ai,195,2,{'name': 1.0}
denizgazete.com,68,2,{'name': 1.0}
samscaffolding.co.uk,685,7,{'name': 1.0}
floodlightseo.com,601,3,{'geo': 1.0}
udana.es,223,3,{'name': 1.0}
gemhospitals.com,25,1,{'name': 1.0}
ulkepostasi.com,574,14,{'name': 1.0}
boutique-georges.com,321,8,{'name': 1.0}
umzugskracher.de,200,1,{'name': 1.0}
turquoiseevasionmartinique.com,42,1,{'name': 1.0}
laptopvang.com,3031,6,{}
semigrasie.co.za,34,1,{'name': 1.0}
egopowerplus.es,573,26,{'name': 1.0}
urfa24haber.com,417,12,{'name': 1.0}
sangiorgiopiacentino.pc.it,175,6,{'name': 1.0}
bigboyzpizza.net.au,253,21,{'name': 1.0}
emlakpencerem.com.tr,1324,36,{'name': 1.0}
tpaspa.com,96,2,{'geo': 1.0}
elizabethdimit.com,444,5,{'address': 1.0}
agence-france-energie.fr,667,3,{'name': 1.0}
cardanoalcampo.va.it,64,3,{'name': 1.0}
fiv-eventi.it,154,3,{'name': 1.0}
nundahdental.com.au,255,3,{'name': 1.0}
luogosano.av.it,44,2,{'name': 1.0}
italoas.com,288,3,{'name': 1.0}
moretta.cn.it,205,7,{'name': 1.0}
appence.com,408,3,{'name': 1.0}
casoria.na.it,66,3,{'name': 1.0}
sunrisealuminumgutter.com,370,5,{'name': 1.0}
ahoyroyfishandchips.com.au,99,1,{'name': 1.0}
affordablebankruptcylawfirm.com,379,49,{'name': 1.0}
ben4d.com,306,2,{'name': 1.0}
gaiarine.tv.it,29,1,{'name': 1.0}
marylandpickers.com,90,1,{'name': 1.0}
vigasio.vr.it,256,5,{'name': 1.0}
gorillapizza.com.au,160,21,{'name': 1.0}
thestreamable.com,4105,307,{'name': 1.0}
boucherieboix.fr,160,4,{'name': 1.0}
soutine.co.uk,104,1,{'name': 1.0}
photogov.net,4764,16,{'address': 1.0}
enleri.com.tr,71,2,{'name': 1.0}
stlouisacrepair.com,350,5,{'hasMap': 1.0}
elearning.company,210,3,{'address': 1.0}
ankaranakliyatambari.com,52,2,{'name': 1.0}
atitlan.gt,131,1,{'name': 1.0}
happier.nl,36,1,{'name': 1.0}
lundbybygg.se,148,8,{'name': 1.0}
xn-----8kcdchakcdd7au6ceeddbnkh8a6gwa2ltd.xn--p1ai,367,6,{'name': 1.0}
onesourcesandiego.com,3257,23,{'name': 1.0}
findlaymazda.com,124,1,{'name': 1.0}
plettproperties.co.za,242,9,{'name': 1.0}
centralelectricalsystems.ca,176,2,{'name': 1.0}
pillarwoodfloors.net,193,2,{'name': 1.0}
canberrabathroomrenovation.net.au,602,8,{'name': 1.0}
zaneslaw.com,318,2,{'name': 1.0}
urgnano.bg.it,231,11,{'name': 1.0}
zealousweb.com,939,17,{'name': 1.0}
tonihukkanen.com,42,1,{'name': 1.0}
goinspo.com,21,1,{'name': 1.0}
nccomplaw.com,1818,19,{'name': 1.0}
sinqro.com,30,2,{'name': 1.0}
xn-----8kcfalhcisadjen9ackfdbp2cpi0a2jtf4a.xn--p1ai,307,4,{'name': 1.0}
milenainstitut.com,78,2,{'name': 1.0}
cote-patio-leon.fr,9,1,{'name': 1.0}
imaret.com.tr,69,2,{'name': 1.0}
africaestate.co.za,420,14,{'name': 1.0}
cote-patio-parentis-en-born.fr,18,2,{'name': 1.0}
umanskymaserati.com,141,1,{'name': 1.0}
lhh.com,28,1,{}
linkagefirecorp.com,381,6,{'name': 1.0}
metroitalia.info,216,6,{'name': 1.0}
limpiezaproperu.com,140,1,{'address': 1.0}
macdumpsters.com,218,2,{}
kateaustinlaw.com.au,1160,3,{'name': 1.0}
vittorio-veneto.tv.it,29,1,{'name': 1.0}
govidemaison.be,134,3,{'name': 1.0}
devogeleer.property,96,3,{'name': 1.0}
sleepbetterny.com,200,7,{'name': 1.0}
ruoubaudabinhdinh.com,1323,4,{}
gaiole.si.it,110,5,{'name': 1.0}
pskfilm.pl,141,6,{'name': 1.0}
vistaprojects.com,677,2,{'containsPlace': 1.0}
starke.immobilien,233,4,{'name': 1.0}
orsago.tv.it,58,2,{'name': 1.0}
upperdog.co.uk,256,2,{'name': 1.0}
cleaning-express.com,214,16,{'name': 1.0}
burtcollect.com,84,2,{'name': 1.0}
singlesover60.co.uk,109,10,{'name': 1.0}
propertypartners.co.za,285,10,{'name': 1.0}
garagerenaultpompeigne.com,40,1,{'name': 1.0}
mandjpaintingkentucky.com,280,3,{'name': 1.0}
driveclassicvw.com,500,2,{'name': 1.0}
garbagnate-milanese.mi.it,106,5,{'name': 1.0}
xn------5cdckalefgbklrc9aza1aifoaxep2aey4e9rpa.xn--p1ai,236,2,{'name': 1.0}
mvthermolaquage.com,62,2,{'name': 1.0}
aptaxonline.com,1054,12,{'name': 1.0}
devereinsulationhomeperformance.com,2006,336,{'name': 1.0}
luchianopizza.com.au,175,26,{'name': 1.0}
feexo.fr,437,8,{'name': 1.0}
karting-lavilledieu.com,89,4,{'name': 1.0}
parentune.com,40,3,{'name': 1.0}
voblikov.ru,52,8,{'name': 1.0}
1001terapist.com,483,3,{'name': 1.0}
mildtospicy.com.au,145,17,{'name': 1.0}
detectivescabanach.com,25,1,{'name': 1.0}
mapslex.com,417,14,{'name': 1.0}
mira.ve.it,198,9,{'name': 1.0}
custylaw.com,1018,38,{'name': 1.0}
titaniumfireworks.com,83,1,{'name': 1.0}
ntowntaxi.com,340,5,{'name': 1.0}
janitor-albany.com,374,2,{'name': 1.0}
kimquoctien.com,7802,14,{}
ripropinfo.com,12,1,{'name': 1.0}
vibrancelabscbd.org,2592,6,{'name': 1.0}
dredental.com,234,3,{'name': 1.0}
gilbertswindows.com,239,5,{'name': 1.0}
bgnsas.com,239,6,{'name': 1.0}
accumoli.ri.it,265,5,{'name': 1.0}
treasurehouse.org,192,2,{'name': 1.0}
thinkprofits.com,991,12,{'name': 1.0}
carapellecalvisio.aq.it,159,3,{'name': 1.0}
loria.tv.it,232,8,{'name': 1.0}
euromaster-neumaticos.es,182,7,{'name': 1.0}
eventcruisesnyc.com,64,2,{'name': 1.0}
mauritius-onlyrealty.com,292,11,{'name': 1.0}
serrahondabrighton.com,519,3,{'name': 1.0}
hnos-almansa.es,71,1,{'name': 1.0}
voleybolgundem.com,348,10,{'name': 1.0}
ownitconveyancing.com,165,1,{'name': 1.0}
eco-forage.com,33,1,{'name': 1.0}
wilgood.ru,237,2,{'name': 1.0}
haberbakis.com.tr,1140,16,{'name': 1.0}
willed.com.au,51,1,{'name': 1.0}
janireviguri.com,101,1,{'name': 1.0}
ruffians.co.uk,32,1,{'name': 1.0}
sun-tint.com,402,8,{'name': 1.0}
madpigerne.dk,97,2,{'name': 1.0}
piombinodese.pd.it,29,1,{'name': 1.0}
locksmith-hero.com,21942,99,{'containsPlace': 1.0}
